strategy_key,strategy_name,direction,hour_utc,entry_time_utc,exit_time_utc,entry_time_local,exit_time_local,entry_local_date,entry_local_week,entry_local_month,entry_price,exit_price,hold_bars,hold_hours,exit_reason,trend_12h_pct,atr_at_entry,pnl_pct,pnl_abs,result
strategy_c,Strategy C (US Session Drain),short,16,2026-04-07T16:00:00+00:00,2026-04-07T17:00:00+00:00,2026-04-08T00:00:00+08:00,2026-04-08T01:00:00+08:00,2026-04-08,2026-W15,2026-04,68209.49,68566.2286,1,1,sl,-0.937,356.7386,-0.523,-356.7386,loss
strategy_e,Strategy E (Afternoon Engine),long,14,2026-04-06T14:00:00+00:00,2026-04-06T20:00:00+00:00,2026-04-06T22:00:00+08:00,2026-04-07T04:00:00+08:00,2026-04-06,2026-W15,2026-04,69422.22,69826.01,6,6,time,0.3095,371.9857,0.5816,403.79,win
strategy_e,Strategy E (Afternoon Engine),long,14,2026-04-04T14:00:00+00:00,2026-04-04T15:00:00+00:00,2026-04-04T22:00:00+08:00,2026-04-04T23:00:00+08:00,2026-04-04,2026-W14,2026-04,67216.91,67455.5914,1,1,tp,0.5566,119.3407,0.3551,238.6814,win
strategy_e,Strategy E (Afternoon Engine),long,14,2026-04-03T14:00:00+00:00,2026-04-03T20:00:00+00:00,2026-04-03T22:00:00+08:00,2026-04-04T04:00:00+08:00,2026-04-03,2026-W14,2026-04,66652.3,66831.98,6,6,time,0.1781,323.2129,0.2696,179.68,win
strategy_e,Strategy E (Afternoon Engine),long,14,2026-04-01T14:00:00+00:00,2026-04-01T17:00:00+00:00,2026-04-01T22:00:00+08:00,2026-04-02T01:00:00+08:00,2026-04-01,2026-W14,2026-04,68190.0,69151.6471,3,3,tp,0.7701,480.8236,1.4102,961.6471,win
strategy_c,Strategy C (US Session Drain),short,16,2026-03-31T16:00:00+00:00,2026-03-31T17:00:00+00:00,2026-04-01T00:00:00+08:00,2026-04-01T01:00:00+08:00,2026-04-01,2026-W14,2026-04,66812.51,67335.0721,1,1,sl,-1.083,522.5621,-0.7821,-522.5621,loss
strategy_c,Strategy C (US Session Drain),short,16,2026-03-30T16:00:00+00:00,2026-03-30T18:00:00+00:00,2026-03-31T00:00:00+08:00,2026-03-31T02:00:00+08:00,2026-03-31,2026-W14,2026-03,67368.1,66622.7957,2,2,tp,-0.3671,372.6521,1.1063,745.3043,win
strategy_e,Strategy E (Afternoon Engine),long,14,2026-03-30T14:00:00+00:00,2026-03-30T17:00:00+00:00,2026-03-30T22:00:00+08:00,2026-03-31T01:00:00+08:00,2026-03-30,2026-W14,2026-03,67544.88,67135.3971,3,3,sl,0.6315,409.4829,-0.6062,-409.4829,loss
strategy_c,Strategy C (US Session Drain),short,16,2026-03-29T16:00:00+00:00,2026-03-29T20:00:00+00:00,2026-03-30T00:00:00+08:00,2026-03-30T04:00:00+08:00,2026-03-30,2026-W14,2026-03,66517.98,66757.865,4,4,sl,-0.3254,239.885,-0.3606,-239.885,loss
strategy_e,Strategy E (Afternoon Engine),long,14,2026-03-28T14:00:00+00:00,2026-03-28T20:00:00+00:00,2026-03-28T22:00:00+08:00,2026-03-29T04:00:00+08:00,2026-03-28,2026-W13,2026-03,66782.63,66906.0,6,6,time,1.1043,256.5914,0.1847,123.37,win
